category,image,item_id,like,link,price,review,title
Bikes,https://img.gkbcdn.com/p/2022-03-24/Shengmilo-MX03-1000W-48V-17Ah-26-Inch-E-bike-Black-498314-0._w280_.jpg,498314,48,https://www.geekbuying.com/item/Shengmilo-MX03-1000W-48V-17Ah-26-Inch-E-bike-Black-498314.html,$1329.99,5,Shengmilo MX03 1000W 48V 17Ah 26 Inch E-bike 40km/h Max Speed 40-50km Mileage Range 180kg Max Load Electric Bike - Black
Electric Scooters,https://img.gkbcdn.com/p/2021-09-03/KugooKirin-S1-PRO-8-inches-electric-scooter-471646-0._w280_.jpg,471646,95,https://www.geekbuying.com/item/KugooKirin-S1-PRO-8-inch-350W-Motor-Folding-Electric-Scooter-Black-471646.html,$259.99,14,KugooKirin S1 Pro 8 inch Solid Honeycomb Tire Folding Electric Scooter 350W Motor LED Display Screen 3 Speed Modes Max 30km/h - Black
Electric Scooters,https://img.gkbcdn.com/p/2022-11-03/AOVOPRO-M365GO-Electric-Scooter-518090-0._w280_.jpg,518090,13,https://www.geekbuying.com/item/AOVOPRO-365GO-Electric-Scooter-8-5-Inch-25Km-h-7-8AH-350W-Motor-518090.html,$259.99,,AOVOPRO 365GO Electric Scooter 8.5 Inch Anti-Skid Solid Tires 350W Motor 36V 7.8Ah Battery 25Km/h Max Speed 120KG Max Load Dual Brake App Control LCD Display Waterproof Foldable E-scooter
Electric Scooters,https://img.gkbcdn.com/p/2021-09-01/NAVEE--N65-10in-48V-500W-65KM-Mileage-Electric-Scooter-471545-3._w280_.jpg,471545,320,https://www.geekbuying.com/item/NAVEE-N65-Folding-Electric-Scooter-10-inch--500W-12-5Ah-Battery-Black-471545.html,$559.99,35,NAVEE N65 10-Inch Folding Electric Scooter 500W Motor 25km/h 48V 12.5Ah Battery Max Range 65KM Disc Brake IPX4 Waterproof Bluetooth APP by Xiaomiyoupin - Black
Bikes,https://img.gkbcdn.com/p/2021-05-25/ezior-x500-pro-26-inch-folding-electric-bike-10-4ah-500w--black-yellow-1621930799324._w280_.jpg,459848,46,https://www.geekbuying.com/item/BEZIOR-M1-Electric-27-5--Electric-Bike-12-5Ah-250W-Motor-Black-Blue-459848.html,$659.99,5,BEZIOR M1 Electric Bike 48V 12.5Ah Battery 250W Brushless Motor 27.5 inch Tire Aluminum Alloy Frame Shimano 7-speed Shift Max Speed 25km/h 80KM Power-assisted mileage Range 5 inch Smart LCD Meter IP54 Waterproof - Black Blue
"E-Bikes, Scooters & Wheels",https://img.gkbcdn.com/p/2019-04-12/kugoo-s1-folding-electric-scooter-350w-motor-8-0-inch-tire-black-1574215594881._w280_.jpg,411071,1152,https://www.geekbuying.com/item/KUGOO-S1-Folding-Electric-Scooter-350W-Motor-8-0-Inch-Tire-Black-411071.html,$259.99,280,KUGOO S3 Folding Electric Scooter 350W Motor LCD Display Screen 3 Speed Modes Max 30km/h - Black
Electric Scooters,https://img.gkbcdn.com/p/2021-09-29/KugooKirin-S4-10inches-electric-scooter-Black-472898-0._w280_.jpg,472898,115,https://www.geekbuying.com/item/KugooKirin-S4-Folding-Electric-Scooter-10-inch-350W-10Ah-Battery-Black-472898.html,$369.89,13,KugooKirin S4 10 inch Pneumatic Tire Folding Electric Scooter Big Touch Dashboard 10Ah Battery 350W Motor 3 Speed Modes Max 35km/h 40KM Max Range EABS+Rear Disc Brake Easily Folded - Black
Electric Skateboards,https://img.gkbcdn.com/p/2020-08-27/syl-08-electric-skateboard-off-road-with-remote-control-black-1598514023841._w280_.jpg,416514,422,https://www.geekbuying.com/item/SYL-08-Electric-Skateboard-Off-Road-With-Remote-Control-Black-416514.html,$509.99,75,SYL-08 V3 Version Electric Off Road Skateboard With Remote Control 1450W Motor up to 38km/h 10Ah Battery Maple Plank 8 inch Wheel Max load 130kg Left Foot Front Regular Stance - Black
Electric Scooters,https://img.gkbcdn.com/p/2021-10-27/kugoo-s1-plus-electric-scooter-350w-motor-7-5ah-black-1635320207903._w280_.jpg,426727,143,https://www.geekbuying.com/item/KUGOO-S1-Plus-Electric-Scooter-350W-Motor-7-5Ah-Black-426727.html,$259.99,20,KUGOO S1 Plus 8 inch Folding Electric Scooter 350W Motor 7.5Ah Clear LCD Display Screen Max 30km/h 3 Speed Modes Max Range up to 25km Easy Folding - Black
Bikes,https://img.gkbcdn.com/p/2022-05-16/engwe-ep-2-pro-folding-electric-moped-bicycle-750w-motor-black-f02f83-1652693914387._w280_.jpg,500053,67,https://www.geekbuying.com/item/ENGWE-EP-2-PRO-Folding-Electric-Moped-Bicycle-750W-Motor-Black-500053.html,$977.70,7,ENGWE EP-2 Pro Folding Electric Bike 2022 Version 20 Inch Fat Tire 750W Motor 13Ah Battery 35km/h Max Speed 100km Range Mountain Beach Snow Bicycle Dual Disc Brake - Black
